date,1. open,2. high,3. low,4. close,5. volume
2019-08-13 15:40:00,3.28,3.285,3.28,3.28,500.0
2019-08-13 15:41:00,3.285,3.29,3.28,3.285,26309.0
2019-08-13 15:42:00,3.285,3.285,3.28,3.285,7716.0
2019-08-13 15:43:00,3.28,3.29,3.28,3.29,54998.0
2019-08-13 15:44:00,3.285,3.29,3.285,3.285,7273.0
2019-08-13 15:45:00,3.285,3.29,3.28,3.29,4115.0
2019-08-13 15:46:00,3.28,3.29,3.28,3.285,6120.0
2019-08-13 15:47:00,3.29,3.29,3.28,3.28,55864.0
2019-08-13 15:48:00,3.28,3.285,3.28,3.285,31219.0
2019-08-13 15:49:00,3.285,3.29,3.28,3.285,63821.0
2019-08-13 15:50:00,3.285,3.29,3.28,3.29,4200.0
2019-08-13 15:51:00,3.285,3.29,3.28,3.285,2746.0
2019-08-13 15:52:00,3.28,3.29,3.28,3.28,5362.0
2019-08-13 15:53:00,3.285,3.29,3.28,3.285,118432.0
2019-08-13 15:54:00,3.285,3.29,3.28,3.28,27380.0
2019-08-13 15:55:00,3.29,3.29,3.28,3.29,15519.0
2019-08-13 15:56:00,3.285,3.29,3.28,3.29,5600.0
2019-08-13 15:57:00,3.285,3.29,3.28,3.28,69009.0
2019-08-13 15:58:00,3.29,3.29,3.28,3.28,55076.0
2019-08-13 15:59:00,3.28,3.29,3.28,3.285,81107.0
2019-08-13 16:00:00,3.285,3.29,3.28,3.29,153193.0
2019-08-14 09:31:00,3.18,3.2,3.18,3.19,81025.0
2019-08-14 09:32:00,3.19,3.19,3.185,3.185,11304.0
2019-08-14 09:34:00,3.19,3.19,3.18,3.1831,21186.0
2019-08-14 09:35:00,3.19,3.19,3.18,3.185,4750.0
2019-08-14 09:36:00,3.185,3.19,3.18,3.185,1519.0
2019-08-14 09:37:00,3.19,3.19,3.185,3.19,15843.0
2019-08-14 09:38:00,3.19,3.19,3.185,3.185,37577.0
2019-08-14 09:39:00,3.185,3.185,3.185,3.185,2803.0
2019-08-14 09:40:00,3.18,3.195,3.18,3.19,80898.0
2019-08-14 09:41:00,3.19,3.2,3.185,3.185,74935.0
2019-08-14 09:42:00,3.18,3.185,3.18,3.185,2513.0
2019-08-14 09:43:00,3.19,3.19,3.185,3.19,30638.0
2019-08-14 09:44:00,3.19,3.19,3.19,3.19,10043.0
2019-08-14 09:45:00,3.18,3.185,3.18,3.185,2184.0
2019-08-14 09:46:00,3.18,3.18,3.17,3.17,3417.0
2019-08-14 09:47:00,3.17,3.17,3.17,3.17,1420.0
2019-08-14 09:48:00,3.175,3.18,3.17,3.175,20676.0
2019-08-14 09:49:00,3.18,3.185,3.17,3.17,173092.0
2019-08-14 09:50:00,3.17,3.17,3.17,3.17,800.0
2019-08-14 09:51:00,3.17,3.17,3.17,3.17,1903.0
2019-08-14 09:52:00,3.18,3.1863,3.175,3.1765,78484.0
2019-08-14 09:53:00,3.18,3.18,3.175,3.175,10230.0
2019-08-14 09:54:00,3.17,3.18,3.165,3.18,49896.0
2019-08-14 09:55:00,3.18,3.19,3.175,3.18,54459.0
2019-08-14 09:56:00,3.18,3.1879,3.18,3.1879,3879.0
2019-08-14 09:57:00,3.18,3.18,3.175,3.18,44681.0
2019-08-14 09:58:00,3.18,3.1867,3.17,3.1867,52955.0
2019-08-14 10:00:00,3.18,3.19,3.1763,3.1763,21210.0
2019-08-14 10:01:00,3.175,3.18,3.1737,3.1742,65475.0
2019-08-14 10:02:00,3.175,3.1787,3.175,3.1787,2150.0
2019-08-14 10:03:00,3.17,3.17,3.17,3.17,312.0
2019-08-14 10:04:00,3.175,3.175,3.17,3.17,19385.0
2019-08-14 10:05:00,3.17,3.17,3.16,3.16,74512.0
2019-08-14 10:06:00,3.16,3.16,3.15,3.155,16844.0
2019-08-14 10:07:00,3.16,3.18,3.15,3.175,188117.0
2019-08-14 10:08:00,3.17,3.17,3.17,3.17,201.0
2019-08-14 10:09:00,3.17,3.17,3.17,3.17,305.0
2019-08-14 10:10:00,3.17,3.17,3.17,3.17,488.0
2019-08-14 10:11:00,3.17,3.17,3.16,3.165,19711.0
2019-08-14 10:12:00,3.16,3.1658,3.16,3.1658,32120.0
2019-08-14 10:13:00,3.16,3.16,3.15,3.16,159333.0
2019-08-14 10:14:00,3.16,3.16,3.16,3.16,3316.0
2019-08-14 10:15:00,3.16,3.16,3.16,3.16,100.0
2019-08-14 10:17:00,3.165,3.165,3.165,3.165,700.0
2019-08-14 10:18:00,3.165,3.165,3.165,3.165,400.0
2019-08-14 10:19:00,3.17,3.17,3.16,3.168,22535.0
2019-08-14 10:20:00,3.165,3.1762,3.16,3.17,100946.0
2019-08-14 10:22:00,3.17,3.1703,3.17,3.1703,1041.0
2019-08-14 10:23:00,3.1739,3.1739,3.16,3.17,31779.0
2019-08-14 10:24:00,3.165,3.17,3.16,3.17,72585.0
2019-08-14 10:25:00,3.1703,3.1703,3.1703,3.1703,178.0
